timestamp,hum_air,temperature,lumiere
2026-04-23 17:28:19,16.0,34.1,525
2026-04-23 17:28:21,16.0,34.1,537
2026-04-23 17:28:23,16.0,34.1,538
2026-04-23 17:28:25,16.0,34.1,532
2026-04-23 17:28:27,16.0,34.1,526
2026-04-23 17:28:29,16.0,34.1,525
2026-04-23 17:28:31,16.0,34.1,528
2026-04-23 17:28:33,16.0,34.1,535
2026-04-23 17:28:35,16.0,34.2,538
2026-04-23 17:29:09,16.0,34.2,531
2026-04-23 17:29:10,16.0,34.2,534
2026-04-23 17:29:10,16.0,34.2,555
2026-04-23 17:29:10,16.0,34.2,560
2026-04-23 17:29:10,16.0,34.2,566
2026-04-23 17:29:11,16.0,34.2,566
2026-04-23 17:29:11,16.0,34.2,563
2026-04-23 17:29:11,16.0,34.2,556
2026-04-23 17:29:11,16.0,34.2,553
2026-04-23 17:29:11,16.0,34.3,566
2026-04-23 17:29:12,16.0,34.3,554
2026-04-23 17:29:12,16.0,34.3,564
2026-04-23 17:29:12,16.0,34.3,556
2026-04-23 17:29:12,16.0,34.3,551
2026-04-23 17:29:12,16.0,34.3,567
2026-04-23 17:29:13,16.0,34.3,557
2026-04-23 17:29:13,16.0,34.3,543
2026-04-23 17:29:13,16.0,34.3,540
2026-04-23 17:29:14,16.0,34.3,568
2026-04-23 17:29:16,16.0,34.3,563
2026-04-23 17:29:18,16.0,34.3,557
2026-04-23 17:29:20,16.0,34.3,554
2026-04-23 17:29:22,16.0,34.3,555
2026-04-23 17:29:24,16.0,34.3,552
2026-04-23 17:29:26,16.0,34.3,551
2026-04-23 17:29:28,16.0,34.3,550
2026-04-23 17:29:30,16.0,34.3,552
2026-04-23 17:29:32,16.0,34.3,559
2026-04-23 17:29:34,16.0,34.3,565
2026-04-23 17:29:36,16.0,34.3,566
2026-04-23 17:29:38,16.0,34.3,549
2026-04-23 17:29:40,16.0,34.3,556
2026-04-23 17:29:42,16.0,34.3,564
2026-04-23 17:29:44,16.0,34.3,557
2026-04-23 17:29:46,16.0,34.3,545
2026-04-23 17:29:48,16.0,34.3,552
2026-04-23 17:29:50,16.0,34.3,559
